Date and Time,Weir Flow(L/s),Weir Level(cm)
2019-12-30 00:00:00,9.814152,6.6812
2019-12-30 00:05:00,10.50907,7.0312
2019-12-30 00:10:00,9.814152,6.6812
2019-12-30 00:15:00,8.959215,6.2437
2019-12-30 00:20:00,8.366124,5.9375
2019-12-30 00:25:00,7.956969,5.7187
2019-12-30 00:30:00,7.711626,5.5875
2019-12-30 00:35:00,7.138844,5.2812
2019-12-30 00:40:00,7.138844,5.2812
2019-12-30 00:45:00,8.038875,5.7625
2019-12-30 00:50:00,8.366124,5.9375
2019-12-30 00:55:00,7.793344,5.6312
2019-12-30 01:00:00,7.057127,5.237501
2019-12-30 01:05:00,6.647969,5.0187
2019-12-30 01:10:00,6.56875,4.975
2019-12-30 01:15:00,7.548,5.5
2019-12-30 01:20:00,8.366124,5.9375
2019-12-30 01:25:00,6.729875,5.0625
2019-12-30 01:30:00,6.105125,4.7125
2019-12-30 01:35:00,6.336912,4.8437
2019-12-30 01:40:00,5.795373,4.537499
2019-12-30 01:45:00,5.641,4.45
2019-12-30 01:50:00,5.486625,4.3625
2019-12-30 01:55:00,6.8935,5.15
2019-12-30 02:00:00,6.491224,4.9312
2019-12-30 02:05:00,6.0276,4.6687
2019-12-30 02:10:00,5.872725,4.5812
2019-12-30 02:15:00,5.486625,4.3625
2019-12-30 02:20:00,5.486625,4.3625
2019-12-30 02:25:00,5.486625,4.3625
2019-12-30 02:30:00,5.409098,4.3187
2019-12-30 02:35:00,5.641,4.45
2019-12-30 02:40:00,5.409098,4.3187
2019-12-30 02:45:00,5.563912,4.4062
2019-12-30 02:50:00,5.254224,4.2312
2019-12-30 02:55:00,5.177,4.1875
2019-12-30 03:00:00,5.409098,4.3187
2019-12-30 03:05:00,5.563912,4.4062
2019-12-30 03:10:00,5.641,4.45
2019-12-30 03:15:00,5.177,4.1875
2019-12-30 03:20:00,5.33175,4.275
2019-12-30 03:25:00,5.177,4.1875
2019-12-30 03:30:00,5.099912,4.1437
2019-12-30 03:35:00,4.653356,3.8812
2019-12-30 03:40:00,4.795294,3.9687
2019-12-30 03:45:00,5.023,4.1
2019-12-30 03:50:00,4.868125,4.0125
2019-12-30 03:55:00,4.868125,4.0125
2019-12-30 04:00:00,4.582125,3.8375
2019-12-30 04:05:00,4.945474,4.0562
2019-12-30 04:10:00,4.868125,4.0125
2019-12-30 04:15:00,5.023,4.1
2019-12-30 04:20:00,5.409098,4.3187
2019-12-30 04:25:00,5.33175,4.275
2019-12-30 04:30:00,5.177,4.1875
2019-12-30 04:35:00,5.795373,4.537499
2019-12-30 04:40:00,5.795373,4.537499
2019-12-30 04:45:00,5.641,4.45
2019-12-30 04:50:00,5.641,4.45
2019-12-30 04:55:00,5.641,4.45
2019-12-30 05:00:00,5.872725,4.5812
2019-12-30 05:05:00,8.874,6.2
2019-12-30 05:10:00,7.220749,5.325
2019-12-30 05:15:00,6.56875,4.975
2019-12-30 05:20:00,6.336912,4.8437
2019-12-30 05:25:00,6.491224,4.9312
2019-12-30 05:30:00,8.038875,5.7625
2019-12-30 05:35:00,7.220749,5.325
2019-12-30 05:40:00,6.811595,5.1062
2019-12-30 05:45:00,6.811595,5.1062
